## This is from the official XRT page
## GRB | RA | Dec | Err90 | #breaks | lc type | NH_gal | Redshift 
GRB 200819A | 21.42385 | 63.06104 | 1.9 | 0 | TBD | 0.98 | N/A 
GRB 200809B | 15.82934 | -73.84554 | 5.8 | 0 | TBD | 0.32 | N/A 
GRB 200806A | 52.93218 | 37.07879 | 1.4 | 1 | TBD | 0.26 | N/A 
GRB 200803A | 311.09315 | -62.94498 | 3.0 | 0 | TBD | 5.15&times;10<sup>-2</sup> | N/A 
GRB 200729A | 184.37621 | 45.59477 | 1.4 | 1 | TBD | 1.07&times;10<sup>-2</sup> | N/A 
GRB 200716C | 196.01021 | 29.64408 | 1.4 | 4 | TBD | 1.08&times;10<sup>-2</sup> | N/A 
GRB 200715A | 248.53771 | -51.83666 | 1.9 | 0 | TBD | 0.76 | N/A 
GRB 200714E | 196.82301 | -51.63936 | 2.6 | 0 | TBD | 0.31 | N/A 
GRB 200713A | 76.94976 | -32.8148 | 1.7 | 2 | TBD | 1.99&times;10<sup>-2</sup> | N/A 
GRB 200711A | 285.97078 | -0.14704 | 1.4 | 1 | TBD | 0.57 | N/A 
GRB 200630A | 91.33041 | -60.75284 | 2.1 | 0 | TBD | 4.32&times;10<sup>-2</sup> | N/A 
GRB 200613A | 153.04197 | 45.75403 | 1.5 | 0 | TBD | 8.43&times;10<sup>-3</sup> | N/A 
GRB 200612A | 302.70207 | -45.33547 | 1.6 | 1 | TBD | 3.69&times;10<sup>-2</sup> | N/A 
GRB 200529A | 238.76396 | -11.07365 | 2.0 | 0 | TBD | 0.24 | N/A 
GRB 200528A | 176.63745 | 58.19255 | 1.6 | 3 | TBD | 1.22&times;10<sup>-2</sup> | N/A 
GRB 200524A | 213.04494 | 60.90536 | 6.3 | 0 | TBD | 1.69&times;10<sup>-2</sup> | 1.256 
GRB 200522A | 5.68204 | -0.28325 | 2.6 | 0 | TBD | 2.94&times;10<sup>-2</sup> | N/A 
GRB 200519A | 255.33306 | -30.3787 | 1.4 | 4 | TBD | 0.33 | N/A 
GRB 200517A | 17.69827 | -50.92253 | 3.7 | 0 | TBD | 1.66&times;10<sup>-2</sup> | N/A 
GRB 200512A | 7.41474 | -2.21037 | 1.4 | 1 | TBD | 2.94&times;10<sup>-2</sup> | N/A 
GRB 200509A | 116.42216 | -4.63029 | 1.4 | 2 | TBD | 0.16 | N/A 
GRB 200425A | 85.21953 | -13.43511 | 1.6 | 3 | TBD | 0.16 | N/A 
GRB 200424A | 307.50538 | -39.70064 | 3.5 | 0 | TBD | 4.28&times;10<sup>-2</sup> | N/A 
GRB 200416A | 335.69934 | -7.51816 | 1.7 | 1 | TBD | 6.54&times;10<sup>-2</sup> | N/A 
GRB 200412B | 278.31338 | 62.53249 | 2.7 | 0 | TBD | 5.09&times;10<sup>-2</sup> | N/A 
GRB 200411A | 47.66424 | -52.3177 | 1.4 | 0 | TBD | 1.55&times;10<sup>-2</sup> | N/A 
GRB 200410A | 299.64618 | 51.78155 | 1.5 | 2 | TBD | 0.22 | N/A 
GRB 200409A | 60.53648 | -50.22494 | 1.5 | 1 | TBD | 1.27&times;10<sup>-2</sup> | N/A 
GRB 200324A | 222.67385 | 35.94167 | 1.4 | 3 | TBD | 1.07&times;10<sup>-2</sup> | N/A 
GRB 200306C | 198.55603 | 11.27028 | 1.8 | 1 | TBD | 1.91&times;10<sup>-2</sup> | N/A 
GRB 200306A | 101.10267 | -62.00655 | 1.5 | 2 | TBD | 8.66&times;10<sup>-2</sup> | N/A 
GRB 200303A | 212.71898 | 51.35927 | 1.4 | 3 | TBD | 1.63&times;10<sup>-2</sup> | N/A 
GRB 200228B | 252.04571 | 16.98458 | 2.5 | 0 | TBD | 6.39&times;10<sup>-2</sup> | N/A 
GRB 200227A | 56.43305 | 9.48265 | 1.4 | 3 | TBD | 0.21 | N/A 
GRB 200224A | 248.7675 | 41.6125 | 2.8 | 0 | TBD | N/A | N/A 
GRB 200219C | 262.50897 | 10.5394 | 2.2 | 0 | TBD | 0.12 | N/A 
GRB 200219A | 342.63834 | -59.11956 | 1.4 | 3 | TBD | 1.93&times;10<sup>-2</sup> | N/A 
GRB 200216B | 160.43463 | 19.4752 | 1.7 | 0 | TBD | 2.03&times;10<sup>-2</sup> | N/A 
GRB 200215A | 34.07936 | 12.771 | 1.4 | 0 | TBD | 0.12 | N/A 
