Burst_Name,Burst_PNG,Workflow,BurstID,Simple,Extended,Other,Too_Noisy,Verify,Symmetrical,FastRiseSlowDecay,UnderlyingEmission,RapidlyVarying,Primary_Z_Score,Primary_P_Value,Primary_Confidence_Level,Secondary_Z_Score,Secondary_P_Value,Secondary_Confidence_Level,Cluster,Color
GRB090113,GRB090113_339852.png,25637,95373302,1,0,10,0,Other,7,3,5,0,2.985832270287424,0.0583244454272477,0.9416755545727522,-0.7207181342073092,0.3397357470350821,0.6602642529649179,3,orange
GRB090123,GRB090123_340895.png,25637,95373305,10,8,11,4,Other,12,5,14,0,1.7766602767919462,0.070994971184076,0.929005028815924,1.1306019943221477,0.1736995065085307,0.8263004934914693,6,brown
GRB090129,GRB090129_341504.png,25637,95373306,17,10,3,3,Simple,3,27,1,0,2.6111648393354674,0.0796049808179062,0.9203950191820938,0.5222329678670935,0.2151699425695499,0.7848300574304501,4,gray
GRB090201,GRB090201_341749.png,25637,95373307,2,4,18,1,Other,11,20,11,0,2.9626817992671115,0.059415897698489,0.9405841023015108,-0.5673220466681703,0.2774169918032731,0.7225830081967268,3,orange
GRB090205,GRB090205_342121.png,25637,95373309,14,2,3,0,Simple,14,2,3,0,2.940461832684397,0.0604876648462435,0.9395123351537564,-0.5563035899673183,0.2282050481927486,0.7717949518072513,7,pink
GRB090301A,GRB090301A_344582.png,25637,95373311,1,4,18,0,Other,8,5,16,0,2.9370644026628394,0.0606536658868328,0.9393463341131671,-0.4195806289518342,0.2618262209885784,0.7381737790114216,3,orange
GRB090305A,GRB090305A_345127.png,25637,95373313,20,0,3,1,Simple,12,5,2,0,2.9735677667001124,0.0588995062228463,0.9411004937771535,-0.6371930928643098,0.2922818132907403,0.7077181867092597,1,blue
GRB090307A,GRB090307A_345551.png,25637,95373314,2,3,8,19,Too Noisy,5,1,6,0,2.824539250572025,0.0664886066732388,0.9335113933267613,0.0,0.2210481368608181,0.7789518631391819,0,red
GRB090308A,GRB090308A_345777.png,25637,95373316,3,3,13,12,Other/Too Noisy,7,3,7,0,1.9090909090909087,0.1522621475332033,0.8477378524667967,1.5454545454545454,0.1825706385300249,0.817429361469975,9,yellow
GRB090309A,GRB090309A_345945.png,25637,95373317,12,2,0,0,Simple,9,3,0,0,2.9593201512468634,0.0595765082563273,0.9404234917436728,-0.5222329678670935,0.3101009010817721,0.6898990989182279,1,blue
GRB090313,GRB090313_346386.png,25637,95373318,2,2,10,15,Too Noisy,6,1,5,0,2.4231571198951536,0.0939030817566417,0.9060969182433584,0.859829945769248,0.1992334228720853,0.8007665771279147,9,yellow
GRB090401A,GRB090401A_348128.png,25637,95373321,7,2,21,0,Other,14,2,18,0,2.851335042425489,0.0650376835979362,0.9349623164020636,-0.1056050015713144,0.211344353731866,0.788655646268134,3,orange
GRB090401B,GRB090401B_348152.png,25637,95373323,14,10,0,2,Simple,6,14,2,0,2.2699497253739325,0.1079300842106913,0.8920699157893086,1.0593098718411684,0.143826137173864,0.856173862826136,4,gray
GRB090404,GRB090404_348428.png,25637,95373324,1,4,14,2,Other,9,6,12,0,2.933693470192341,0.0608189364396982,0.9391810635603016,-0.4190990671703344,0.2493948671852386,0.7506051328147614,3,orange
GRB090407,GRB090407_348650.png,25637,95373326,1,9,10,11,,7,5,7,0,1.4212390083040571,0.0599375782284186,0.9400624217715814,0.9839346980566548,0.2503636690026609,0.7496363309973391,8,cyan
GRB090410,GRB090410_348929.png,25637,95373327,4,5,15,1,Other,15,5,7,0,2.880227605754115,0.0635172209295356,0.9364827790704644,-0.4114610865363021,0.1824110872036635,0.8175889127963365,5,purple
GRB090417A,GRB090417A_349447.png,25637,95373328,12,1,6,8,Simple,11,0,1,0,2.2958476287988616,0.0865942163740272,0.9134057836259728,0.5466303878092528,0.1053890246368789,0.8946109753631211,6,brown
GRB090417B,GRB090417B_349450.png,25637,95373330,0,0,0,13,Too Noisy,0,0,0,0,3.0,0.0576688856224374,0.9423311143775626,-1.0,0.3910022189557705,0.6089977810442295,0,red
GRB090418A,GRB090418A_349510.png,25637,95373331,0,9,16,2,Other,9,5,18,0,2.543170567506841,0.0844451152718193,0.9155548847281808,0.6186090569611237,0.1604931707922616,0.8395068292077383,5,purple
GRB090419,GRB090419_349592.png,25637,95373332,0,0,1,12,Too Noisy,0,0,0,0,2.9902518020086637,0.0581189488320708,0.9418810511679292,-0.7689218919450849,0.3477243781102923,0.6522756218897077,0,red
GRB090422,GRB090422_349931.png,25637,95373334,2,6,22,1,Other,18,12,7,0,2.9253216207322303,0.0612318381814966,0.9387681618185032,-0.3592500235986949,0.2598899543422899,0.7401100456577101,3,orange
GRB090423,GRB090423_350184.png,25637,95373336,15,2,3,0,Simple,13,3,5,0,2.9488391230979425,0.0600807688311031,0.9399192311688968,-0.5897678246195885,0.2368146067154755,0.7631853932845245,7,pink
GRB090424,GRB090424_350311.png,25637,95373338,14,14,4,2,Simple/Extended,16,13,11,0,1.7179113807746669,0.1353102160463832,0.8646897839536167,1.7179113807746669,0.184309933662593,0.8156900663374069,4,gray
