Burst Name,Workflow,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB080413B,25637,95373198,7,5,0,0,,"[2, 10, 1, 0, 0, 0]"
GRB080426,25637,95373199,11,1,0,0,Simple,"[6, 5, 0, 0, 1, 1]"
GRB080430,25637,95373200,8,4,0,0,,"[1, 11, 0, 0, 0, 0]"
GRB080503,25637,95373202,0,2,2,1,,"[1, 2, 3, 0, 0, 1]"
GRB080506,25637,95373203,0,0,2,8,,"[0, 0, 0, 0, 1, 9]"
GRB080515,25637,95373206,3,3,4,1,,"[7, 1, 3, 0, 1, 2]"
GRB080516,25637,95373207,1,1,9,0,,"[8, 1, 3, 0, 0, 0]"
GRB080517,25637,95373208,3,4,0,4,,"[2, 3, 3, 0, 1, 5]"
GRB080520,25637,95373209,10,0,1,0,,"[10, 0, 0, 0, 0, 0]"
GRB080523,25637,95373211,1,5,2,1,,"[0, 6, 3, 0, 0, 1]"
GRB080602,25637,95373212,0,1,7,1,,"[4, 2, 4, 0, 0, 1]"
GRB080603B,25637,95373213,0,0,4,0,,"[2, 2, 2, 0, 0, 0]"
GRB080604,25637,95373214,2,0,2,7,,"[3, 1, 2, 0, 0, 7]"
GRB080605,25637,95373216,3,2,8,1,,"[8, 2, 7, 0, 1, 2]"
GRB080607,25637,95373219,2,5,0,0,,"[4, 3, 3, 0, 0, 0]"
