Burst_Name,Burst_Image,BurstID,Simple,Extended,Other,Too Noisy,Verify,Follow
GRB060202,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060202_179968.png,95372917,0,8,17,23,,"[12, 3, 16, 0, 3, 26]"
GRB060203,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060203_180151.png,95372919,3,2,3,14,,"[3, 0, 5, 0, 0, 14]"
GRB060204B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060204B_180241.png,95372920,20,21,2,4,,"[27, 12, 10, 0, 0, 4]"
GRB060206,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060206_180455.png,95372922,15,4,2,1,,"[8, 12, 0, 0, 1, 2]"
GRB060210,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060210_180977.png,95372923,2,2,11,1,,"[8, 1, 10, 0, 1, 2]"
GRB060211A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060211A_181126.png,95372924,1,6,15,18,,"[7, 9, 14, 0, 1, 19]"
GRB060211B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060211B_181156.png,95372927,17,8,18,6,,"[25, 9, 15, 0, 3, 9]"
GRB060219,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060219_191512.png,95372928,5,3,17,23,,"[11, 3, 15, 0, 2, 26]"
GRB060223A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060223A_192059.png,95372929,15,17,12,7,,"[11, 15, 22, 0, 2, 9]"
GRB060223B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060223B_192152.png,95372931,18,3,26,2,,"[19, 3, 22, 0, 8, 10]"
GRB060306,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060306_200638.png,95372932,1,4,15,2,,"[6, 12, 7, 0, 0, 2]"
GRB060312,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060312_201391.png,95372933,3,3,14,0,,"[14, 4, 13, 0, 1, 1]"
GRB060313,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060313_201487.png,95372935,11,0,0,0,Simple,"[10, 3, 0, 0, 0, 0]"
GRB060319,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060319_202035.png,95372936,17,13,12,3,,"[18, 15, 20, 0, 1, 4]"
GRB060322,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060322_202442.png,95372938,0,3,12,0,Other,"[11, 3, 9, 0, 0, 0]"
GRB060323,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060323_202505.png,95372939,1,5,16,2,,"[13, 5, 12, 0, 1, 3]"
GRB060403,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060403_203755.png,95372941,15,24,4,6,,"[4, 35, 10, 0, 0, 6]"
GRB060413,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060413_205096.png,95372942,23,4,10,3,,"[27, 3, 13, 0, 1, 4]"
GRB060418,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060418_205851.png,95372944,1,4,13,0,,"[7, 1, 12, 0, 1, 1]"
GRB060421,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060421_206257.png,95372945,9,13,21,5,,"[22, 6, 21, 0, 3, 8]"
GRB060424,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060424_206773.png,95372946,11,18,20,2,,"[24, 4, 27, 0, 3, 5]"
GRB060427,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060427_207281.png,95372948,4,8,7,25,,"[2, 8, 8, 0, 3, 28]"
GRB060428A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060428A_207364.png,95372950,7,11,19,3,,"[26, 4, 16, 0, 1, 4]"
GRB060428B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060428B_207399.png,95372951,12,9,10,16,,"[14, 6, 12, 0, 3, 20]"
GRB060501,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060501_208050.png,95372952,15,13,11,3,,"[12, 22, 14, 0, 0, 3]"
GRB060502A,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060502A_208169.png,95372955,25,13,5,1,,"[16, 29, 6, 0, 1, 2]"
GRB060502B,/Users/catermurawski/Desktop/Swift-Research/BurstPhotos/GRB060502B_208275.png,95372956,16,1,5,2,,"[16, 0, 1, 0, 4, 6]"
