Number,User,ID,Shape,Definer
1557,raptor197,90376941,Simple Pulse,Symmetrical Structure
1558,raptor197,90376963,Simple Pulse,Symmetrical Structure
1559,raptor197,90376937,Simple Pulse,Symmetrical Structure
1560,raptor197,90376897,Simple Pulse,Symmetrical Structure
1561,raptor197,90376887,Extended Emmissions,Underlying emission
1562,raptor197,90376936,Simple Pulse,Symmetrical Structure
1563,raptor197,90376864,Simple Pulse,Symmetrical Structure
1564,raptor197,90376931,Simple Pulse,Symmetrical Structure
1565,raptor197,90376879,Simple Pulse,Symmetrical Structure
1566,raptor197,90376955,Extended Emmissions,Underlying emission
1567,raptor197,90376950,Simple Pulse,Symmetrical Structure
1568,raptor197,90376890,Simple Pulse,Fast.R Slow.D
1569,raptor197,90376926,Extended Emmissions,Underlying emission
1570,raptor197,90376949,Simple Pulse,Symmetrical Structure
1571,raptor197,90376945,Simple Pulse,Fast.R Slow.D
1572,raptor197,90376965,Simple Pulse,Symmetrical Structure
1573,raptor197,90376889,Simple Pulse,Symmetrical Structure
1574,raptor197,90376959,Simple Pulse,Fast.R Slow.D
1575,raptor197,90376959,Simple Pulse,Fast.R Slow.D
1576,dianasironi,90376876,Other,Nothing found
1577,TonyJHoffman,90376886,Extended Emmissions,Rapid Varying pulses
1578,TonyJHoffman,90376875,Extended Emmissions,Underlying emission
1579,Sovanacharya,90376902,Extended Emmissions,Underlying emission
1580,Sovanacharya,90376959,Simple Pulse,Fast.R Slow.D
1581,Sovanacharya,90376874,Simple Pulse,Symmetrical Structure
1582,Sovanacharya,90376866,Extended Emmissions,Underlying emission
1583,Sovanacharya,90376949,Simple Pulse,Symmetrical Structure
1584,pensayd,90376949,Other,Underlying emission
1585,pensayd,90376942,Simple Pulse,Fast.R Slow.D
1586,pensayd,90376963,Simple Pulse,Fast.R Slow.D
1587,Love_supernova,90376868,Extended Emmissions,Symmetrical Structure
1588,Love_supernova,90376958,Simple Pulse,Fast.R Slow.D
1589,Love_supernova,90376927,Other,Symmetrical Structure
1590,Love_supernova,90376961,Extended Emmissions,Underlying emission
1591,Love_supernova,90376944,Simple Pulse,Symmetrical Structure
1592,Love_supernova,90376925,Extended Emmissions,Fast.R Slow.D
1593,KAKUL,90376958,Extended Emmissions,Underlying emission
1594,KAKUL,90376888,Extended Emmissions,Underlying emission
1595,KAKUL,90376871,Extended Emmissions,Underlying emission
1596,KAKUL,90376961,Extended Emmissions,Rapid Varying pulses
1597,KAKUL,90376965,Extended Emmissions,Underlying emission
1598,Sovanacharya,90376960,Simple Pulse,Fast.R Slow.D
1599,Sovanacharya,90376889,Simple Pulse,Fast.R Slow.D
1600,Sovanacharya,90376926,Extended Emmissions,Rapid Varying pulses
1601,Sovanacharya,90376868,Simple Pulse,Rapid Varying pulses
1602,Sovanacharya,90376904,Extended Emmissions,Underlying emission
1603,diegomassat,90376897,Extended Emmissions,Fast.R Slow.D
1604,diegomassat,90376892,Simple Pulse,Nothing found
1605,diegomassat,90376937,Extended Emmissions,Fast.R Slow.D
1606,diegomassat,90376899,Other,Underlying emission
1607,diegomassat,90376926,Extended Emmissions,Underlying emission
1608,diegomassat,90376936,Simple Pulse,Symmetrical Structure
1609,diegomassat,90376891,Extended Emmissions,Fast.R Slow.D
1610,diegomassat,90376949,Other,Underlying emission
1611,diegomassat,90376885,Extended Emmissions,Underlying emission
1612,diegomassat,90376963,Simple Pulse,Nothing found
1613,diegomassat,90376959,Other,Nothing found
1614,diegomassat,90376962,Other,Nothing found
1615,diegomassat,90376878,Simple Pulse,Symmetrical Structure
1616,diegomassat,90376879,Simple Pulse,Nothing found
1617,diegomassat,90376889,Simple Pulse,Nothing found
1618,diegomassat,90376950,Simple Pulse,Symmetrical Structure
1619,diegomassat,90376868,Other,Nothing found
1620,diegomassat,90376908,Other,Underlying emission
1621,diegomassat,90376888,Other,Underlying emission
1622,diegomassat,90376881,Other,Rapid Varying pulses
1623,diegomassat,90376944,Extended Emmissions,Fast.R Slow.D
1624,diegomassat,90376898,Extended Emmissions,Fast.R Slow.D
1625,diegomassat,90376883,Other,Underlying emission
1626,diegomassat,90376957,Simple Pulse,Symmetrical Structure
1627,diegomassat,90376886,Other,Rapid Varying pulses
1628,diegomassat,90376927,Extended Emmissions,Fast.R Slow.D
1629,diegomassat,90376931,Simple Pulse,Symmetrical Structure
1630,diegomassat,90376871,Other,Rapid Varying pulses
1631,diegomassat,90376965,Extended Emmissions,Nothing found
1632,diegomassat,90376882,Simple Pulse,Fast.R Slow.D
1633,diegomassat,90376877,Other,Underlying emission
1634,diegomassat,90376961,Other,Rapid Varying pulses
1635,diegomassat,90376876,Simple Pulse,Rapid Varying pulses
1636,diegomassat,90376928,Simple Pulse,Nothing found
1637,diegomassat,90376904,Other,Underlying emission
1638,diegomassat,90376953,Simple Pulse,Symmetrical Structure
1639,diegomassat,90376875,Other,Symmetrical Structure
1640,diegomassat,90376942,Simple Pulse,Nothing found
1641,diegomassat,90376884,Other,Underlying emission
1642,diegomassat,90376933,Other,Underlying emission
1643,SebastianReisch,90376959,Simple Pulse,Symmetrical Structure
1644,SebastianReisch,90376957,Simple Pulse,Symmetrical Structure
1645,SebastianReisch,90376885,Extended Emmissions,Underlying emission
